data,cambio
12/12/1995,0.9658
13/12/1995,0.9661
14/12/1995,0.9663
15/12/1995,0.9667
18/12/1995,0.9671
19/12/1995,0.9666
20/12/1995,0.9677
21/12/1995,0.9684
22/12/1995,0.9692
26/12/1995,0.9692
27/12/1995,0.9699
28/12/1995,0.9716
29/12/1995,0.9715
02/01/1996,0.9716
03/01/1996,0.9717
04/01/1996,0.9718
05/01/1996,0.9717
08/01/1996,0.9716
09/01/1996,0.9716
10/01/1996,0.9716
12/01/1996,0.9724
15/01/1996,0.9717
16/01/1996,0.9716
17/01/1996,0.9717
18/01/1996,0.9719
19/01/1996,0.9722
22/01/1996,0.9736
23/01/1996,0.9756
24/01/1996,0.9759
25/01/1996,0.9758
26/01/1996,0.9774
29/01/1996,0.9778
30/01/1996,0.9777
31/01/1996,0.9776
01/02/1996,0.9776
02/02/1996,0.9776
05/02/1996,0.9777
06/02/1996,0.9776
07/02/1996,0.9778
08/02/1996,0.9777
09/02/1996,0.9778
12/02/1996,0.9777
13/02/1996,0.9796
14/02/1996,0.9803
15/02/1996,0.9824
16/02/1996,0.9822
21/02/1996,0.9813
22/02/1996,0.9814
23/02/1996,0.9812
26/02/1996,0.9826
28/02/1996,0.9828
29/02/1996,0.9832
01/03/1996,0.9832
04/03/1996,0.9829
05/03/1996,0.9829
06/03/1996,0.9829
07/03/1996,0.9837
08/03/1996,0.9835
11/03/1996,0.9835
12/03/1996,0.9834
13/03/1996,0.9846
14/03/1996,0.9861
18/03/1996,0.9858
20/03/1996,0.9875
21/03/1996,0.9866
22/03/1996,0.9867
25/03/1996,0.9871
26/03/1996,0.9873
27/03/1996,0.9875
28/03/1996,0.9873
29/03/1996,0.9872
01/04/1996,0.9873
02/04/1996,0.9867
03/04/1996,0.9866
04/04/1996,0.9866
08/04/1996,0.9867
09/04/1996,0.9878
10/04/1996,0.9888
11/04/1996,0.99
12/04/1996,0.9897
15/04/1996,0.9891
16/04/1996,0.9895
17/04/1996,0.9892
18/04/1996,0.9888
19/04/1996,0.9907
22/04/1996,0.9908
23/04/1996,0.9907
24/04/1996,0.9908
25/04/1996,0.9909
26/04/1996,0.9914
29/04/1996,0.9918
30/04/1996,0.9917
02/05/1996,0.9917
03/05/1996,0.9918
06/05/1996,0.9918
07/05/1996,0.9919
09/05/1996,0.9931
10/05/1996,0.9938
13/05/1996,0.9943
14/05/1996,0.9952
16/05/1996,0.9957
20/05/1996,0.9948
21/05/1996,0.9948
23/05/1996,0.9954
27/05/1996,0.9958
28/05/1996,0.9957
29/05/1996,0.9959
30/05/1996,0.9963
31/05/1996,0.9976
03/06/1996,0.9978
04/06/1996,0.9977
05/06/1996,0.9979
